rok;kandidatni_strana;poradove_cislo;jmeno;vek;navrhujici_strana;politika_prislusnost;pocet_hlasu_abs;pocet_hlasu_perc;poradi_zvol_nahradnika;mandat
2014;"Sdružení pro Pard. - SNK ED,NK";37;"Borkovec Zdeněk Mgr.";27;"NK";"BEZPP";1591;1.95;33;""
2010;"Strana Práv Občanů ZEMANOVCI";13;"Urban Oldřich";44;"SPOZ";"SPOZ";397;2.22;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";31;"Štěpánková Markéta Bc.";42;"PPL";"BEZPP";668;2.41;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";1;"Tomšů Petr Ing. ";38;"KDU-ČSL";"KDU-ČSL";1913;3.96;2;*
2002;"Křesť.demokr.unie-Čs.str.lid.";28;"Svoboda Miroslav  ";49;"KDU-ČSL";"BEZPP";1010;2.09;26;""
2014;"Sdružení pro Pard. - SNK ED,NK";23;"Hrubý Jakub Mgr.";31;"NK";"BEZPP";1902;2.33;19;""
2002;"Unie svobody-Demokratická unie";36;"Šamánek Dušan  ";52;"US-DEU";"BEZPP";767;1.72;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";29;"Karas Ondřej Ing.";30;"PPL";"PPL";652;2.35;"";""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";30;"Kotyk Jiří PhDr.";60;"KDU-ČSL";"BEZPP";1656;3.18;3;""
2018;"Komunistická str.Čech a Moravy";25;"Jetmar Josef";58;"KSČM";"KSČM";1259;2.51;23;""
2014;"Úsvit přímé demokracie";5;"Pršala Radoslav";53;"Úsvit";"BEZPP";373;2.94;"";""
2018;"Občanská demokratická strana";24;"Ministr Petr  MBA";57;"ODS";"ODS";3659;2.58;17;""
2014;"ANO 2011";10;"Laurynová Věra Ing.";63;"ANO";"BEZPP";4908;2.65;10;*
2014;"NEZÁVISLÍ";21;"Macner Jiří Ing.";36;"NEZ";"BEZPP";189;2.26;"";""
2006;"Zelená pro Pardubice";6;"Motyčka Lubomír Ing.";54;"SZ";"BEZPP";2157;2.80;5;""
2010;"Občanská demokratická strana";26;"Kálalová Helena";55;"ODS";"ODS";3922;2.41;19;""
2010;"Zelená pro Pardubice (SZ, NK)";3;"Horváthová Lucie Mgr.";29;"SZ";"SZ";1157;4.73;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";29;"Peterková Monika  ";44;"KDU-ČSL";"BEZPP";1087;2.25;27;""
2014;"Naše Pardubice, FairPlay,NK";26;"Ratman Miloslav Ing.";53;"FairPlay";"BEZPP";595;2.37;"";""
2006;"Česká str.sociálně demokrat.";29;"Loosová Martina";28;"ČSSD";"ČSSD";4264;2.50;22;""
2002;"Nezávislí Pardubičtí kandidáti";18;"Jirouš Jaroslav  ";63;"SV SOS";"BEZPP";269;2.46;"";""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";29;"Rodr Dušan";47;"NK";"BEZPP";1005;2.19;27;""
2018;"Koalice pro Pardubice";23;"Vlášková Ludmila";65;"TOP 09";"BEZPP";1731;2.48;20;""
2010;"Koalice pro Pardubice";7;"Demlová Hana Ing.";67;"KDU-ČSL";"KDU-ČSL";1272;2.79;"";""
2002;"Česká str.sociálně demokrat.";7;"Mojžíš Jaroslav Ing. ";59;"ČSSD";"ČSSD";4454;2.80;2;""
2010;"SDRUŽENÍ PRO PARDUBICE";30;"Vojtíšek Vratislav Ing.";66;"SNK ED";"SNK ED";4883;2.33;21;""
2018;"Pardubáci společně";24;"Kudláček Pavel";50;"STAN";"BEZPP";2024;2.32;20;""
2018;"NAŠE PARDUBICE";6;"Vraný Martin Ing.";41;"NK";"BEZPP";1519;3.16;"";""
2014;"Úsvit přímé demokracie";3;"Kozlovský Luboš Ing.";49;"Úsvit";"BEZPP";501;3.95;"";""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";16;"Línková Sandra Mgr.";25;"KDU-ČSL";"KDU-ČSL";1096;2.50;15;""
2010;"Věci veřejné (VV)";17;"Štěpánková Hana";60;"VV";"BEZPP";668;2.35;"";""
2018;"Pardubice pro lidi";19;"Zásměta Tomáš Ing.";34;"PPL";"PPL";963;2.38;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";8;"Vojtěch Pavel  ";51;"KDU-ČSL";"BEZPP";1569;3.25;4;""
2014;"Svobodní, Strana svobod.občanů";1;"Bartoš Michael MUDr.";52;"Svobodní";"Svobodní";1091;3.59;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";7;"Čapek Vítězslav";50;"PPL";"PPL";890;3.21;"";""
2018;"Strana soukromníků ČR";33;"Gregor Vladimír";42;"Soukromníci";"BEZPP";79;1.92;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";36;"Mašková Petra Bc. ";32;"KDU-ČSL";"KDU-ČSL";1037;2.15;34;""
2010;"Zelená pro Pardubice (SZ, NK)";21;"Štěpánová Gabriela";38;"NK";"BEZPP";505;2.06;"";""
2018;"ČSSD a nestran. pro Pardubice";12;"Juchelková Markéta Ing.";49;"ČSSD";"ČSSD";1423;2.50;10;""
2010;"Komunistická str.Čech a Moravy";16;"Škuliga Pavol Ing.";40;"KSČM";"BEZPP";2654;2.57;12;""
2010;"TOP 09 a nezávislí";23;"Petrus Jan";29;"TOP 09";"BEZPP";1826;2.38;20;""
2014;"Svobodní, Strana svobod.občanů";21;"Růžička Daniel  DiS.";32;"Svobodní";"BEZPP";740;2.43;"";""
2010;"Komunistická str.Čech a Moravy";39;"Herynk Ivan Ing.";66;"KSČM";"KSČM";2365;2.29;35;""
2002;"Křesť.demokr.unie-Čs.str.lid.";6;"Beňuš Vendelín  ";52;"KDU-ČSL";"KDU-ČSL";1198;2.48;7;""
2014;"ZEMANOVCI, Sdružení SPO, NK";2;"Kozerová Marcela Mgr.";69;"SPO";"SPO";135;8.37;"";""
2018;"Strana soukromníků ČR";4;"Erber Milan";39;"Soukromníci";"Soukromníci";125;3.04;"";""
2018;"Sdružení pro Pardubice";20;"Hromádko Milan";68;"NK";"BEZPP";1380;2.30;17;""
2018;"PRO Zdraví a Sport";15;"Mazuchová Lucie";20;"PRO Zdraví";"BEZPP";147;2.17;"";""
2018;"Pardubáci společně";21;"Hlučka Luboš";54;"PATRIOTI";"BEZPP";1997;2.29;17;""
2014;"Komunistická str.Čech a Moravy";7;"Harmat Roman";37;"KSČM";"KSČM";1960;2.61;3;""
2018;"PRO Zdraví a Sport";14;"Štefan Zdeněk";52;"PRO Zdraví";"BEZPP";127;1.87;"";""
2010;"TOP 09 a nezávislí";5;"Koudelka Ladislav prof. Ing. DrSc.";68;"TOP 09";"BEZPP";2732;3.56;1;*
2014;"Komunistická str.Čech a Moravy";2;"Studnička Pavel";61;"KSČM";"KSČM";2275;3.03;2;*
2002;"Česká str.sociálně demokrat.";30;"Koželuh Miloslav  ";72;"ČSSD";"ČSSD";3662;2.30;23;""
2010;"Koalice pro Pardubice";9;"Šimeček Jan";35;"KDU-ČSL";"KDU-ČSL";1007;2.21;"";""
2018;"Komunistická str.Čech a Moravy";1;"Snopek Václav Mgr. CSc.";67;"KSČM";"KSČM";1655;3.30;1;*
2014;"Sdružení pro Pard. - SNK ED,NK";27;"Filip Petr Mgr.";54;"NK";"BEZPP";1969;2.42;23;""
2006;"Občanská demokratická strana";20;"Drenko Michal";27;"ODS";"ODS";9522;2.56;5;""
2014;"ZEMANOVCI, Sdružení SPO, NK";12;"Šťovíček Jiří";40;"NK";"BEZPP";64;3.97;"";""
2018;"PRO Zdraví a Sport";4;"Urbancová Kateřina Bc.";33;"PRO Zdraví";"BEZPP";338;4.99;"";""
2002;"Občanská demokratická strana";39;"Janáková Iva Ing. ";26;"ODS";"ODS";6861;2.02;23;""
2002;"Komunistická str.Čech a Moravy";16;"Polák Miloš RSDr. ";56;"KSČM";"KSČM";3765;2.58;9;""
