rok;kandidatni_strana;poradove_cislo;jmeno;vek;navrhujici_strana;politika_prislusnost;pocet_hlasu_abs;pocet_hlasu_perc;poradi_zvol_nahradnika;mandat
2002;"NEZÁVISLÍ";21;"Nekovařík Jaromír  ";40;"NEZ";"NEZ";770;2.30;"";""
2002;"Naděje";32;"Prudičová Blanka  ";55;"N";"BEZPP";634;2.12;"";""
2006;"Komunistická str.Čech a Moravy";13;"Kubínek Jaroslav Ing.";66;"KSČM";"KSČM";2893;2.58;9;""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";9;"Peřinová Drahomíra MUDr.";53;"Nestran.";"BEZPP";2143;4.12;1;*
2014;"PARDUBÁCI,Sdružení ČSR, NK";34;"Palečková Lucie";35;"ČSR";"BEZPP";1331;2.14;31;""
2002;"NEZÁVISLÍ";36;"Hanzlíček Miroslav  ";49;"NEZ";"BEZPP";560;1.67;"";""
2006;"Občanská demokratická strana";15;"Mede Alfréd Ing.";48;"ODS";"ODS";9748;2.62;15;*
2010;"TOP 09 a nezávislí";10;"Bayer David MUDr.";40;"TOP 09";"TOP 09";2366;3.08;4;""
2018;"ANO 2011";13;"Petr Filip Mgr.";41;"ANO";"ANO";6907;2.66;13;*
2002;"Sdružení pro Pardubice";21;"Kubrycht Martin Mgr. ";49;"NK";"BEZPP";3620;2.45;14;""
2014;"ANO 2011";31;"Tvrdík Michal";35;"ANO";"ANO";4509;2.43;20;""
2006;"Občanská demokratická strana";23;"Hrochová Petra";20;"ODS";"ODS";9509;2.55;8;""
2018;"PRO Zdraví a Sport";24;"Hofinger Milan";24;"PRO Zdraví";"BEZPP";128;1.89;"";""
2010;"Občanská demokratická strana";19;"Janoš Jiří Ing.";49;"ODS";"ODS";4214;2.59;13;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";19;"Petráš Jiří Ing. Ph.D.";48;"KDU-ČSL";"BEZPP";1091;2.49;18;""
2006;"Sdružení pro Pardubice";16;"Táborský Pavel Ing.";48;"NK";"BEZPP";4619;2.47;8;""
2002;"Strana za životní jistoty";5;"Malý Jiří Ing. ";66;"SŽJ";"SŽJ";196;5.67;"";""
2010;"Česká str.sociálně demokrat.";13;"Malý Libor Mgr.";49;"ČSSD";"ČSSD";6149;2.66;2;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";11;"Fuchsa Jaroslav";43;"ALTER";"BEZPP";470;3.44;"";""
2014;"Komunistická str.Čech a Moravy";39;"Šumpich Jiří";71;"KSČM";"KSČM";1659;2.21;35;""
2018;"ČSSD a nestran. pro Pardubice";16;"Tauber Jindřich Mgr.";43;"ČSSD";"ČSSD";1444;2.54;14;""
2014;"Svobodní, Strana svobod.občanů";19;"Beneš Radek";32;"Svobodní";"BEZPP";734;2.41;"";""
2010;"Věci veřejné (VV)";1;"Suchánek Zdeněk";52;"VV";"VV";1259;4.44;"";""
2014;"DOMOV";1;"Topolský Jiří";51;"BPI";"BEZPP";319;4.72;"";""
2010;"Věci veřejné (VV)";5;"Houdek Roman Ing.";38;"VV";"BEZPP";1106;3.90;"";""
2002;"Sdružení pro Pardubice";1;"Petráň Miroslav Ing. arch. ";51;"NK";"BEZPP";6325;4.29;2;*
2010;"Komunistická str.Čech a Moravy";23;"Hostinský Josef";62;"KSČM";"BEZPP";2597;2.52;19;""
2006;"Občanská demokratická strana";36;"Mádl Pavel Mgr. Ing.";61;"ODS";"ODS";8619;2.31;21;""
2018;"Pardubice pro lidi";39;"Klimpl Zdeněk Mgr.";65;"PPL";"BEZPP";832;2.06;"";""
2010;"TOP 09 a nezávislí";16;"Donátová Jitka";60;"TOP 09";"BEZPP";1799;2.34;14;""
2010;"Koalice pro Pardubice";25;"Traxler Ladislav Mgr. Ing.";62;"KDU-ČSL";"BEZPP";1023;2.24;"";""
2018;"ANO 2011";39;"Schrogel Boris";53;"ANO";"ANO";5514;2.12;26;""
2018;"Sdružení pro Pardubice";5;"Erban Evžen";73;"NK";"BEZPP";1963;3.28;2;""
2018;"ČSSD a nestran. pro Pardubice";24;"Špinler Petr Ing.";50;"ČSSD";"ČSSD";1341;2.36;22;""
2010;"Česká str.sociálně demokrat.";22;"Fofoňková Marie";60;"ČSSD";"ČSSD";5868;2.54;11;""
2002;"Sdružení pro Pardubice";20;"Řezníčková Zdeňka  ";59;"NK";"BEZPP";3264;2.21;13;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";15;"Novotný Ivo";38;"ALTER";"BEZPP";294;2.15;"";""
2018;"Komunistická str.Čech a Moravy";9;"Škuliga Pavol Ing.";48;"KSČM";"BEZPP";1341;2.67;7;""
2010;"TOP 09 a nezávislí";29;"Sychra Marek MUDr.";45;"TOP 09";"BEZPP";2105;2.74;26;""
2014;"Naše Pardubice, FairPlay,NK";12;"Nosek Miroslav Mgr.";50;"NK";"BEZPP";718;2.87;"";""
2002;"Unie svobody-Demokratická unie";16;"Janoš Jiří  ";41;"US-DEU";"US-DEU";1056;2.38;"";""
2002;"Sdružení pro Pardubice";34;"Lounová Hana Ing. ";46;"NK";"BEZPP";2943;1.99;27;""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";23;"Mlejnek Vladimír";53;"NK";"BEZPP";1004;2.19;21;""
2014;"DOMOV";16;"Šedivák Luděk Ing.";60;"BPI";"BEZPP";180;2.66;"";""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";39;"Sedlák Pavel";37;"Nestran.";"BEZPP";1068;2.05;37;""
2010;"Suverenita-blok J.Bobošíkové";30;"Nedoma Miloš";36;"Suveren.";"BEZPP";449;2.32;"";""
2010;"Zelená pro Pardubice (SZ, NK)";17;"Günnerová Lenka Mgr.";56;"SZ";"BEZPP";554;2.26;"";""
2018;"Koalice pro Pardubice";9;"Netolický Petr Ing.";36;"KDU-ČSL";"KDU-ČSL";2056;2.94;5;""
2014;"Sdružení pro Pard. - SNK ED,NK";16;"Majer Milan Mgr.";46;"NK";"BEZPP";1999;2.45;12;""
2018;"Pardubice pro lidi";8;"Pištora Ondřej Ing.";43;"PPL";"PPL";1024;2.53;"";""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";12;"Vondra Daniel";25;"NK";"BEZPP";1104;2.40;11;""
2018;"Komunistická str.Čech a Moravy";21;"Šlaichrtová Nataša";64;"KSČM";"KSČM";1264;2.52;19;""
2014;"NEZÁVISLÍ";7;"Janovský Petr";58;"NEZ";"BEZPP";239;2.86;"";""
2014;"Svobodní, Strana svobod.občanů";18;"Petráňová Dana MUDr.";31;"Svobodní";"BEZPP";876;2.88;"";""
2014;"Úsvit přímé demokracie";15;"Neumannová Jana";47;"Úsvit";"BEZPP";308;2.43;"";""
2010;"SDRUŽENÍ PRO PARDUBICE";15;"Troníčková Andrea PhDr.";36;"NK";"BEZPP";5653;2.70;7;""
2018;"ČSSD a nestran. pro Pardubice";15;"Práchenský Bedřich";66;"ČSSD";"ČSSD";1379;2.42;13;""
2002;"NEZÁVISLÍ";4;"Kunt Přemysl Ing. ";46;"NEZ";"NEZ";1012;3.02;"";""
2014;"PARDUBÁCI,Sdružení ČSR, NK";3;"Moravcová Klára Mgr.";36;"ČSR";"BEZPP";2003;3.22;2;""
2002;"Křesť.demokr.unie-Čs.str.lid.";38;"Češík Jiří  ";40;"KDU-ČSL";"KDU-ČSL";966;2.00;36;""
2002;"Nezávislí Pardubičtí kandidáti";4;"Heinová Iva MUDr. ";41;"SV SOS";"BEZPP";1173;10.74;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";14;"Korynta Oldřich";42;"Soukromníci";"BEZPP";681;2.46;"";""
2014;"ZEMANOVCI, Sdružení SPO, NK";1;"Tamchyna Miloslav Ing.";64;"SPO";"SPO";132;8.18;"";""
2014;"Občanská demokratická strana";1;"Janků Jiří Ing.";37;"ODS";"ODS";2624;3.48;2;*
2014;"Komunistická str.Čech a Moravy";35;"Kubínková Zdenka";65;"KSČM";"KSČM";1828;2.43;31;""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";14;"Nevečeřal Pavel";62;"NK";"BEZPP";1111;2.42;13;""
2014;"Česká str.sociálně demokrat.";20;"Brokešová Marta Bc.";58;"ČSSD";"ČSSD";2686;2.55;14;""
2010;"TOP 09 a nezávislí";27;"Péková Jana";26;"TOP 09";"BEZPP";1822;2.37;24;""
2014;"Občanská demokratická strana";38;"Petružálek Radim Bc.";23;"ODS";"ODS";1503;1.99;34;""
2002;"Naděje";31;"Albrecht Jiří  ";33;"N";"BEZPP";741;2.48;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";30;"Šimek Jiří  ";71;"KDU-ČSL";"BEZPP";1025;2.12;28;""
2010;"Strana Práv Občanů ZEMANOVCI";19;"Kozerová Marcela Mgr.";65;"SPOZ";"SPOZ";404;2.25;"";""
2018;"NAŠE PARDUBICE";25;"Komárková Markéta";19;"NK";"BEZPP";1102;2.29;"";""
2010;"Strana Práv Občanů ZEMANOVCI";5;"Šimek Jiří Mgr.";26;"SPOZ";"SPOZ";627;3.50;"";""
2014;"ANO 2011";17;"Troníčková Andrea PhDr.";40;"ANO";"BEZPP";5114;2.76;6;""
2010;"Věci veřejné (VV)";15;"Benešová Věra";32;"VV";"BEZPP";734;2.59;"";""
2014;"PARDUBÁCI,Sdružení ČSR, NK";16;"Jedlička Jiří";27;"ČSR";"BEZPP";1591;2.56;13;""
2006;"Sdružení pro Pardubice";38;"Caha David";36;"NK";"BEZPP";3735;1.99;30;""
2002;"Komunistická str.Čech a Moravy";24;"Kazda Jiří RSDr. ";51;"KSČM";"KSČM";3726;2.55;17;""
2014;"DOMOV";36;"Matoušek Milan";38;"BPI";"BEZPP";123;1.82;"";""
2018;"Česká pirátská strana";31;"Hanulík Vladan Mgr. Ph.D.";38;"Piráti";"BEZPP";2661;2.43;26;""
2002;"Sdružení pro Pardubice";13;"Vojtíšek Vratislav Ing. ";59;"NK";"BEZPP";3741;2.53;6;""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";7;"Tomšů Petr Ing.";42;"KDU-ČSL";"KDU-ČSL";1354;2.60;11;""
2018;"Pardubáci společně";19;"Hovorka Pavel Ing.";44;"VČ";"BEZPP";2065;2.37;15;""
2010;"Věci veřejné (VV)";19;"Souček Filip";19;"VV";"BEZPP";657;2.31;"";""
2006;"Občanská demokratická strana";9;"Razskazov Jiří";49;"ODS";"ODS";10069;2.70;9;*
2014;"Koal. pro Pard., KDU-ČSL,NESTR";4;"Grulich Petr Mgr. Ph.D.";41;"Nestran.";"BEZPP";1380;3.15;3;""
2018;"Komunistická str.Čech a Moravy";31;"Hájek Vojtěch";27;"KSČM";"BEZPP";1231;2.45;29;""
2010;"TOP 09 a nezávislí";37;"Šidák Vojtěch";21;"TOP 09";"TOP 09";1465;1.91;34;""
2002;"Strana za životní jistoty";9;"Netolická Anežka  ";46;"SŽJ";"SŽJ";221;6.40;"";""
2018;"Strana soukromníků ČR";3;"Drobný Miroslav Mgr.";44;"Soukromníci";"BEZPP";168;4.09;"";""
2014;"ANO 2011";28;"Novotný Jiří";41;"ANO";"BEZPP";4615;2.49;17;""
2006;"Česká str.sociálně demokrat.";35;"Chudová Marie";69;"ČSSD";"ČSSD";3934;2.31;28;""
2010;"Občanská demokratická strana";34;"Metelka Vladimír Ing.";51;"ODS";"ODS";3746;2.30;27;""
2002;"Sdružení pro Pardubice";3;"Skalický Jiří PharmDr. ";48;"SNK ED";"BEZPP";6437;4.36;1;*
2018;"PRO Zdraví a Sport";6;"Jirout Jiří Mgr.";44;"PRO Zdraví";"BEZPP";165;2.43;"";""
2018;"ČSSD a nestran. pro Pardubice";10;"Barták Dominik Mgr.";27;"ČSSD";"ČSSD";1523;2.68;8;""
2018;"Koalice pro Pardubice";7;"Grulich Petr doc. Mgr. Ph.D.";45;"Nestran.";"BEZPP";2095;3.00;4;""
2014;"Svobodní, Strana svobod.občanů";22;"Zahradník Ondřej";26;"Svobodní";"Svobodní";744;2.44;"";""
2014;"NEZÁVISLÍ";17;"Vanc Miroslav";34;"NEZ";"BEZPP";172;2.06;"";""
2018;"NAŠE PARDUBICE";33;"Hronková Adéla Mgr.";33;"NK";"BEZPP";1068;2.22;"";""
2018;"ANO 2011";10;"Kolovratník Martin Ing.";43;"ANO";"ANO";7108;2.74;10;*
2002;"Křesť.demokr.unie-Čs.str.lid.";13;"Novotná Věra Ing. ";67;"KDU-ČSL";"KDU-ČSL";1231;2.55;12;""
2010;"Strana Práv Občanů ZEMANOVCI";33;"Urbanová Soňa";53;"SPOZ";"BEZPP";346;1.93;"";""
2002;"Unie svobody-Demokratická unie";17;"Čech Josef  ";72;"US-DEU";"US-DEU";922;2.07;"";""
2006;"Občanská demokratická strana";5;"Kňava Jaroslav";51;"ODS";"ODS";10110;2.72;5;*
2006;"Občanská demokratická strana";31;"Přibylová Alena";49;"ODS";"ODS";9230;2.48;16;""
2010;"Strana Práv Občanů ZEMANOVCI";26;"Maťaš Roman";34;"SPOZ";"SPOZ";371;2.07;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";23;"Kalášek Roman";39;"PPL";"PPL";668;2.41;"";""
2002;"Občanská demokratická strana";34;"Žítek Jaroslav  ";64;"ODS";"ODS";7842;2.31;18;""
2014;"Úsvit přímé demokracie";35;"Školová Elen";72;"Úsvit";"BEZPP";259;2.04;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";34;"Švajdlerová Pavlína Ing.";27;"PPL";"PPL";632;2.28;"";""
2002;"Sdružení pro Pardubice";5;"Škoda Josef Ing. ";62;"SOS";"BEZPP";4477;3.03;7;*
2006;"Česká str.sociálně demokrat.";31;"Hrdý Zdeněk Bc.";24;"ČSSD";"ČSSD";4162;2.44;24;""
2018;"PRO Zdraví a Sport";38;"Knappeová Michaela";27;"PRO Zdraví";"BEZPP";116;1.71;"";""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";10;"Demlová Hana Ing.";71;"KDU-ČSL";"KDU-ČSL";1251;2.86;7;""
2014;"DOMOV";22;"Žvejkal Vladimír";51;"BPI";"BEZPP";142;2.10;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";8;"Měkota Miloš Ing.";52;"Soukromníci";"Soukromníci";710;2.56;"";""
2018;"Komunistická str.Čech a Moravy";27;"Nechvátal Josef";66;"KSČM";"BEZPP";1245;2.48;25;""
2010;"Koalice pro Pardubice";12;"Strádal Oktavián doc. Ing. Ph.D.";59;"KDU-ČSL";"BEZPP";1380;3.03;"";""
2006;"Sdružení pro Pardubice";5;"Fraňková Štěpánka MUDr.";41;"SNK ED";"SNK ED";5606;2.99;5;*
2010;"Občanská demokratická strana";27;"Kollert David Mgr.";34;"ODS";"ODS";4126;2.54;20;""
2018;"PRO Zdraví a Sport";32;"Koutenský Adam";20;"PRO Zdraví";"BEZPP";121;1.78;"";""
2014;"Strana zelených";21;"Bubeníčková Františka";22;"Zelení";"BEZPP";575;2.41;"";""
2002;"NEZÁVISLÍ";27;"Bartoš Petr Mgr. ";40;"NEZ";"BEZPP";584;1.74;"";""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";6;"Šmoková Věra";56;"NK";"BEZPP";1116;2.43;8;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";38;"Miláček František";47;"KDU-ČSL";"KDU-ČSL";824;1.88;36;""
2018;"ANO 2011";1;"Charvát Martin Ing.";45;"ANO";"ANO";7877;3.04;1;*
2002;"Sdružení pro Pardubice";37;"Habětínek František Ing. ";58;"NK";"BEZPP";2831;1.92;30;""
2014;"TOP 09 a nezávislí";8;"Jirsa Vojtěch Ing.";28;"NK";"BEZPP";1670;3.13;3;""
2014;"ANO 2011";39;"Felsenberg Jan";37;"ANO";"BEZPP";3575;1.93;28;""
2006;"Komunistická str.Čech a Moravy";9;"Polanský Josef Ing.";59;"KSČM";"KSČM";2948;2.63;5;""
2002;"NEZÁVISLÍ";33;"Merunka Vladimír  ";50;"NEZ";"BEZPP";603;1.80;"";""
2002;"Pravý Blok";3;"Měkota Miloš Ing. ";40;"PB";"BEZPP";257;24.85;"";""
2018;"ČSSD a nestran. pro Pardubice";14;"Chvojka Jan Ing.";50;"NK";"BEZPP";1471;2.59;12;""
2018;"Strana soukromníků ČR";29;"Pecinová Nikola";19;"Soukromníci";"BEZPP";80;1.94;"";""
2018;"Komunistická str.Čech a Moravy";4;"Filip Lukáš Bc.";38;"KSČM";"KSČM";1361;2.71;3;""
2002;"Unie svobody-Demokratická unie";26;"Tušl Luboš Ing. ";53;"US-DEU";"ODA";1053;2.37;"";""
2006;"Komunistická str.Čech a Moravy";28;"Snopek Lukáš Ing.";25;"KSČM";"BEZPP";2889;2.58;24;""
2018;"ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU";2;"Frei Jakub";19;"NK";"BEZPP";306;28.81;"";""
2006;"Občanská demokratická strana";6;"Heřmanský Petr Ing.";60;"ODS";"ODS";9919;2.66;6;*
2006;"Česká str.sociálně demokrat.";5;"Mojžíš Jaroslav Ing.";63;"ČSSD";"ČSSD";4550;2.67;6;*
2018;"Komunistická str.Čech a Moravy";8;"Kmošťáková Valéria";56;"KSČM";"KSČM";1296;2.58;6;""
2018;"Pardubice pro lidi";23;"Melicharová Lenka";43;"PPL";"BEZPP";987;2.44;"";""
2010;"PARDUBÁCI";32;"Pilař Luboš";37;"ČSR";"BEZPP";2364;2.19;27;""
2014;"Úsvit přímé demokracie";24;"Krejčí Jiří Ing.";59;"Úsvit";"BEZPP";287;2.26;"";""
2018;"Pardubice pro lidi";21;"Socha František Ing. Ph.D.";50;"PPL";"BEZPP";1031;2.55;"";""
2014;"DOMOV";32;"Hudáková Zlata";37;"BPI";"BEZPP";134;1.98;"";""
2014;"ZEMANOVCI, Sdružení SPO, NK";15;"Diviš Milan";64;"NK";"BEZPP";46;2.85;"";""
2006;"Občanská demokratická strana";26;"Gruntorád Otomar";65;"ODS";"ODS";9288;2.49;11;""
2002;"Strana za životní jistoty";4;"Kozerová Marcela Mgr. ";57;"SŽJ";"SŽJ";310;8.98;"";""
2014;"NEZÁVISLÍ";1;"Karbanová Ladislava Bc. DiS.";61;"NEZ";"NEZ";366;4.38;"";""
2002;"Strana za životní jistoty";1;"Hudec Jiří JUDr. ";57;"SŽJ";"BEZPP";772;22.37;"";""
2018;"PRO Zdraví a Sport";22;"Knížková Kateřina Ing.";30;"PRO Zdraví";"BEZPP";129;1.90;"";""
2018;"Občanská demokratická strana";25;"Milata Martin";42;"ODS";"ODS";3548;2.50;18;""
2018;"NAŠE PARDUBICE";28;"Krivcová Eva";40;"NK";"BEZPP";1082;2.25;"";""
2014;"Úsvit přímé demokracie";9;"Novotná Drahuše";55;"Úsvit";"BEZPP";320;2.52;"";""
2018;"Strana soukromníků ČR";37;"Thomas Miroslava";46;"Soukromníci";"BEZPP";76;1.85;"";""
2018;"Česká pirátská strana";38;"Kustein Viktor Mgr.";32;"Piráti";"BEZPP";2243;2.05;33;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";16;"Jarkovský Josef";26;"SPD";"SPD";965;2.55;"";""
2018;"Pardubáci společně";3;"Lejhanec Jiří Ing.";53;"PATRIOTI";"BEZPP";3343;3.84;1;*
2010;"TOP 09 a nezávislí";33;"Charous Petr";48;"TOP 09";"TOP 09";1613;2.10;30;""
2006;"Komunistická str.Čech a Moravy";27;"Hilbert Petr";64;"KSČM";"KSČM";2779;2.48;23;""
2014;"ANO 2011";21;"Huráň Jiří Ing.";55;"ANO";"BEZPP";4754;2.57;10;""
2014;"Česká str.sociálně demokrat.";23;"Petružálková Renata Mgr.";46;"ČSSD";"ČSSD";2733;2.59;17;""
2018;"Strana soukromníků ČR";24;"Čepová Šťastná Markéta";40;"Soukromníci";"BEZPP";76;1.85;"";""
2010;"Suverenita-blok J.Bobošíkové";39;"Matějka Václav";46;"Suveren.";"BEZPP";426;2.20;"";""
2010;"Věci veřejné (VV)";32;"Neumannová Božena";54;"VV";"BEZPP";623;2.19;"";""
2014;"Svobodní, Strana svobod.občanů";34;"Hošek Martin";28;"Svobodní";"BEZPP";696;2.29;"";""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";31;"Semerád Miroslav Ing.";41;"NK";"BEZPP";989;2.15;29;""
2014;"Strana zelených";14;"Sýkora Josef Mgr.";68;"Zelení";"BEZPP";668;2.80;"";""
2002;"Sdružení pro Pardubice";19;"Řežábková Iva Ing. ";41;"NK";"BEZPP";3469;2.35;12;""
2018;"Koalice pro Pardubice";4;"Skalický Jiří PharmDr. Ph.D.";64;"TOP 09";"TOP 09";2613;3.74;1;*
2018;"PRO Zdraví a Sport";39;"Zvárová Ilona";53;"PRO Zdraví";"BEZPP";117;1.72;"";""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";3;"Bednář Josef Ing.";47;"KDU-ČSL";"KDU-ČSL";1602;3.08;4;""
2014;"Česká str.sociálně demokrat.";22;"Práchenský Bedřich";62;"ČSSD";"ČSSD";2625;2.49;16;""
2006;"Česká str.sociálně demokrat.";25;"Lejhancová Lenka";46;"ČSSD";"ČSSD";4345;2.55;18;""
2006;"Sdružení pro Pardubice";23;"Tamchynová Monika Bc.";28;"NK";"BEZPP";4625;2.47;15;""
2014;"NEZÁVISLÍ";33;"Viktorinová Andrea";29;"NEZ";"BEZPP";183;2.19;"";""
2010;"SDRUŽENÍ PRO PARDUBICE";3;"Petráň Miroslav Ing. arch.";59;"SNK ED";"SNK ED";6601;3.15;4;*
2002;"Nezávislí Pardubičtí kandidáti";8;"Hykel Vladimír Ing. ";41;"SV SOS";"BEZPP";513;4.69;"";""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";2;"Weisbauer František Ing.";43;"KDU-ČSL";"KDU-ČSL";1853;3.56;1;""
2010;"Koalice pro Pardubice";28;"Mužáková Vladimíra MUDr. Ph.D.";46;"Nestran.";"BEZPP";1086;2.38;"";""
2002;"Občanská demokratická strana";21;"Růžička Miloš Ing. ";61;"ODS";"ODS";8402;2.47;5;""
2010;"Věci veřejné (VV)";11;"Eliáš Pavel  DiS.";35;"VV";"VV";796;2.80;"";""
2002;"Česká str.sociálně demokrat.";26;"Olyšar Jindřich  ";61;"ČSSD";"ČSSD";3796;2.38;19;""
2010;"Komunistická str.Čech a Moravy";11;"Šlaichrtová Nataša";56;"KSČM";"KSČM";2645;2.56;7;""
2006;"Komunistická str.Čech a Moravy";10;"Šťastná Zdenka JUDr.";52;"KSČM";"KSČM";3047;2.72;6;""
2014;"Úsvit přímé demokracie";2;"Minařík Ladislav Ing.";60;"Úsvit";"BEZPP";600;4.73;"";""
2014;"Komunistická str.Čech a Moravy";26;"Háva Bohumír";62;"KSČM";"KSČM";1887;2.51;22;""
2010;"Zelená pro Pardubice (SZ, NK)";5;"Kvapil Pavel";60;"SZ";"SZ";544;2.22;"";""
2006;"Komunistická str.Čech a Moravy";12;"Jirků Josef RSDr.";60;"KSČM";"KSČM";2906;2.59;8;""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";9;"Kučera Zdeněk MUDr.";62;"NK";"BEZPP";1172;2.55;10;""
2014;"DOMOV";25;"Tvrdík Jan";26;"BPI";"BEZPP";155;2.29;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";39;"Řezníček Miloslav Ing.";56;"PPL";"BEZPP";576;2.08;"";""
2014;"Česká str.sociálně demokrat.";38;"Blažejovská Soňa";55;"ČSSD";"ČSSD";2245;2.13;32;""
2006;"NEZ.DEMOKRATÉ(předs.V.Železný)";7;"Tobeš Marek";23;"NEZ/DEM";"BEZPP";187;11.43;"";""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";28;"Šimeček Jan";39;"KDU-ČSL";"KDU-ČSL";1004;2.29;26;""
2018;"NAŠE PARDUBICE";38;"Filip Vladimír";58;"FairPlay";"FairPlay";951;1.98;"";""
2018;"Komunistická str.Čech a Moravy";16;"Findejs Bohumil";64;"KSČM";"KSČM";1259;2.51;14;""
2018;"PRO Zdraví a Sport";11;"Brokešová Marta";62;"PRO Zdraví";"BEZPP";159;2.35;"";""
2010;"PARDUBÁCI";1;"Brendl František";34;"ČSR";"ČSR";4021;3.73;1;*
2002;"Občanská demokratická strana";23;"Vlasák Tomáš Ing. ";41;"ODS";"ODS";8610;2.53;7;""
2014;"Pard. pro lidi a Souk SsČR,PPL";10;"Mareš Pavel Ing.";43;"PPL";"PPL";760;2.74;"";""
2018;"Pardubice pro lidi";30;"Boušková Zuzana Mgr.";54;"PPL";"BEZPP";942;2.33;"";""
2006;"Občanská demokratická strana";8;"Zlesáková Zuzana Ing.";43;"ODS";"ODS";9973;2.68;8;*
2014;"Občanská demokratická strana";22;"Homola Hynek Ing.";37;"ODS";"ODS";1841;2.44;18;""
2014;"Úsvit přímé demokracie";26;"Novotný Jiří";57;"Úsvit";"BEZPP";288;2.27;"";""
2006;"Sdružení pro Pardubice";30;"Junková Lucie  DiS.";27;"NK";"BEZPP";4508;2.41;22;""
2014;"TOP 09 a nezávislí";20;"Gregor Miroslav Ing.";57;"TOP 09";"TOP 09";1283;2.41;17;""
2002;"Naděje";34;"Kopečková Radka  ";23;"N";"BEZPP";590;1.97;"";""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";25;"Sýkora Tomáš MUDr.";59;"Nestran.";"BEZPP";1266;2.89;6;""
2018;"Občanská demokratická strana";12;"Štěpánek Vítězslav Mgr. Ing.";60;"ODS";"ODS";4134;2.91;4;*
2010;"Strana Práv Občanů ZEMANOVCI";22;"Gross David";26;"SPOZ";"SPOZ";394;2.20;"";""
2002;"Strana za životní jistoty";3;"Kabátník Milan PhDr. ";66;"SŽJ";"SŽJ";233;6.75;"";""
2014;"DOMOV";34;"Kaucký Jiří";60;"BPI";"BEZPP";133;1.97;"";""
2018;"Strana soukromníků ČR";5;"Míchal Jaroslav PaedDr. Mgr.";61;"Soukromníci";"BEZPP";141;3.43;"";""
2002;"Občanská demokratická strana";2;"Srbek Jiří  ";54;"ODS";"ODS";10123;2.98;3;*
2018;"Strana soukromníků ČR";10;"Zitová Hana";61;"Soukromníci";"BEZPP";120;2.92;"";""
2010;"Česká str.sociálně demokrat.";30;"Dudek Vladimír";37;"ČSSD";"ČSSD";5815;2.51;19;""
2018;"Koalice pro Pardubice";6;"Hubálková Marie Mgr.";52;"KDU-ČSL";"KDU-ČSL";2130;3.05;3;""
2018;"NAŠE PARDUBICE";15;"Novotný Zdeněk MUDr.";46;"NK";"BEZPP";1321;2.75;"";""
2002;"Unie svobody-Demokratická unie";25;"Sodomková Vlasta  ";65;"US-DEU";"US-DEU";918;2.07;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";27;"Košťálová Hana";50;"PPL";"PPL";635;2.29;"";""
2002;"Česká str.sociálně demokrat.";3;"Morávek Jacek Mgr. ";28;"ČSSD";"ČSSD";4972;3.12;3;*
2002;"Sdružení pro Pardubice";10;"Brychnáč Josef  ";52;"NK";"BEZPP";4067;2.75;3;""
2014;"PARDUBÁCI,Sdružení ČSR, NK";6;"Hlaváč Ondřej Ing.";39;"ČSR";"ČSR";1624;2.61;5;""
2014;"DOMOV";3;"Urbánek Tomáš";47;"BPI";"BEZPP";244;3.61;"";""
2002;"Sdružení pro Pardubice";29;"Hruška Lumír  ";46;"NK";"BEZPP";3159;2.14;22;""
2002;"Unie svobody-Demokratická unie";11;"Grohová Zuzana  ";50;"US-DEU";"US-DEU";1446;3.26;"";""
2010;"PARDUBÁCI";30;"Mette Vlastimil Ing.";51;"ČSR";"BEZPP";2495;2.31;25;""
2014;"NEZÁVISLÍ";4;"Badová Lenka";48;"NEZ";"BEZPP";254;3.04;"";""
2006;"Zelená pro Pardubice";1;"Linhart Jan Ing.";55;"SZ";"SZ";3031;3.93;3;*
